,model_name,model_year,kms_driven,mileage,power,price,company,engine
525,Royal Enfield,2015,25600.0,32.0,27.2,100000.0,Royal,500.0
526,Honda CBR,2014,22500.0,38.0,18.28,55000.0,Honda,150.0
527,Suzuki Gixxer,2018,19410.0,63.0,14.0,65000.0,Suzuki,150.0
528,Suzuki Gixxer,2015,27000.0,63.0,14.0,48000.0,Suzuki,150.0
529,Bajaj Avenger,2015,37580.0,40.0,19.0,39000.0,Bajaj,220.0
530,Yamaha YZF-R15,2010,32100.0,42.0,16.0,50000.0,Yamaha,150.0
531,Yamaha FZ25,2017,17000.0,43.0,20.3,60000.0,Yamaha,250.0
532,Royal Enfield,2005,30000.0,30.0,19.8,40000.0,Royal,350.0
533,Royal Enfield,2011,62000.0,35.0,19.8,75000.0,Royal,350.0
534,Hero Glamour,2021,1000.0,55.0,10.72,75000.0,Hero,125.0
535,Yamaha YZF-R15,2016,26000.0,42.0,16.7,85000.0,Yamaha,150.0
536,Hero Splendor,2021,4.0,55.0,7.91,74000.0,Hero,100.0
537,Royal Enfield,2016,13800.0,40.0,19.8,123250.0,Royal,350.0
538,Bajaj Avenger,2017,20000.0,40.0,19.0,69400.0,Bajaj,220.0
539,Bajaj Pulsar,2014,8300.0,40.0,24.2,52500.0,Bajaj,200.0
540,Royal Enfield,2015,40000.0,40.0,19.8,111000.0,Royal,350.0
541,Yamaha FZS,2018,12000.0,52.0,12.9,67900.0,Yamaha,150.0
542,Royal Enfield,2018,3745.0,25.0,27.2,171700.0,Royal,500.0
543,Hero Glamour,2010,46000.0,55.0,8.9,22000.0,Hero,125.0
544,Yamaha FZ25,2017,29000.0,43.0,20.3,65000.0,Yamaha,250.0
545,Bajaj V15,2018,31000.0,57.0,11.8,40000.0,Bajaj,150.0
546,Yamaha YZF-R15,2017,21500.0,42.0,16.7,90000.0,Yamaha,150.0
547,Hero Passion,2011,46000.0,5.0,8.2,19051.0,Hero,100.0
548,Royal Enfield,2019,2829.0,35.0,19.8,165000.0,Royal,350.0
549,Royal Enfield,2018,9488.0,35.0,19.8,150000.0,Royal,350.0
550,Yamaha FZs,2010,33000.0,45.0,13.0,22000.0,Yamaha,150.0
551,Royal Enfield‎,2014,34000.0,37.0,19.8,85000.0,Royal,350.0
552,Hero Super,2019,13800.0,75.0,9.0,55000.0,Hero,125.0
553,Royal Enfield,2016,9500.0,35.0,19.8,123500.0,Royal,350.0
554,Bajaj Pulsar,2016,19456.0,65.0,17.0,56213.0,Bajaj,180.0
555,Royal Enfield,2016,63000.0,37.0,19.8,90000.0,Royal,350.0
556,Yamaha YZF-R15,2013,31000.0,42.0,16.7,64700.0,Yamaha,150.0
557,Bajaj Pulsar,2015,47000.0,38.0,21.0,54000.0,Bajaj,220.0
558,Royal Enfield,2012,26000.0,40.0,19.8,70000.0,Royal,350.0
559,KTM RC,2019,2200.0,26.0,42.3,225000.0,KTM,390.0
560,Royal Enfield,2015,25000.0,40.0,19.8,100000.0,Royal,350.0
561,Bajaj Pulsar,2016,51000.0,65.0,17.0,52000.0,Bajaj,180.0
562,Bajaj Pulsar,2009,26000.0,65.0,15.0,15000.0,Bajaj,180.0
563,Bajaj Pulsar,2017,22000.0,65.0,17.0,59900.0,Bajaj,180.0
564,Bajaj Pulsar,2014,8000.0,45.0,17.0,41400.0,Bajaj,180.0
565,Bajaj V12,2018,28000.0,57.0,12.0,40000.0,Bajaj,125.0
566,Hero Splendor,2020,2000.0,55.0,7.91,67000.0,Hero,100.0
567,Yamaha Fazer,2017,5100.0,43.0,20.3,80400.0,Yamaha,250.0
568,Royal Enfield,2015,12036.0,40.0,19.8,99902.0,Royal,350.0
569,Suzuki Gixxer,2016,24500.0,40.0,14.6,43000.0,Suzuki,150.0
570,Royal Enfield,2016,4730.0,40.0,19.8,96000.0,Royal,350.0
571,Honda CB,2014,20000.0,60.0,14.0,23000.0,Honda,150.0
572,Bajaj Pulsar,2011,28000.0,65.0,15.0,24000.0,Bajaj,180.0
573,Royal Enfield,2017,20000.0,25.0,27.2,135000.0,Royal,500.0
574,Hero Hunk,2007,57000.0,53.0,14.0,10500.0,Hero,150.0
575,Hero Passion,2001,60000.0,55.0,7.5,10000.0,Hero,100.0
576,Royal Enfield,2017,37650.0,40.0,19.8,120000.0,Royal,350.0
577,Royal Enfield,2017,26000.0,35.0,19.8,135000.0,Royal,350.0
578,Royal Enfield,2018,28360.0,35.0,19.8,148700.0,Royal,350.0
579,Bajaj Pulsar,2020,10000.0,62.0,11.64,100000.0,Bajaj,125.0
